Hate_Speech,TARGET,dialoGPT,BART,BERT,T5,gpt2,dialoGPT_deco,gpt2_deco,BERT_deco,BART_deco,T5_deco,gpt2_suitable,gpt2_specific,gpt2_grammar,gpt2_choose_or_not,gpt2_is_best,T5_suitable,T5_specific,T5_grammar,T5_choose_or_not,T5_is_best,BART_suitable,BART_specific,BART_grammar,BART_choose_or_not,BART_is_best,dialoGPT_suitable,dialoGPT_specific,dialoGPT_grammar,dialoGPT_choose_or_not,dialoGPT_is_best,BERT_suitable,BERT_specific,BERT_grammar,BERT_choose_or_not,BERT_is_best,Annotator
How come Muslims don't get internment?? Is it because they are 'too big to intern'?,MUSLIMS,"If you really wanted to know, you could read about the internment of millions of people, and the many many  you're mistaking for 'too big to intern'.",It is not true that Muslims are 'too big to intern'. They are just trying to get a better life.,"it is not true that jews are a burden to our society. we should remember that they are not the only ones who do not want to be excluded from our society, and this is why they are a part of our society and we should not be persecuted for their religion.",The vast majority of Muslim workers receive work in the UK and in the UK. But in the UK they receive jobs of the same organisation as British citizens.,They are already in many internment camps and many of them have very positive and productive careers. They are not 'too big to get interned'.,kp,kp,kp,tp,tp,1,3,5,0,0,2,1,3,0,0,3,2,5,1,0,5,4,5,1,1,1,1,3,0,0,one
How come Muslims don't get internment?? Is it because they are 'too big to intern'?,MUSLIMS,"If you really wanted to know, you could read about the internment of millions of people, and the many many  you're mistaking for 'too big to intern'.",It is not true that Muslims are 'too big to intern'. They are just trying to get a better life.,"it is not true that jews are a burden to our society. we should remember that they are not the only ones who do not want to be excluded from our society, and this is why they are a part of our society and we should not be persecuted for their religion.",The vast majority of Muslim workers receive work in the UK and in the UK. But in the UK they receive jobs of the same organisation as British citizens.,They are already in many internment camps and many of them have very positive and productive careers. They are not 'too big to get interned'.,kp,kp,kp,tp,tp,3,4,5,1,0,2,3,3,0,0,4,2,5,1,0,4,5,4,1,1,1,4,4,0,0,two
"Islam = cancer in every corner of the world. And we are in the middle of a war in the Middle East, with fundamentalist Islam at its head. This ideology is driving us to destruction.",MUSLIMS,"Islam is a religion, not a cancer, and we are in the midst of a war in the Middle East and the conflict is about terrorism and Islam. You are completely wrong.","The vast majority of Muslims in the world are peaceful, tolerant, and tolerant. They are our brothers and sisters.","the vast majority of muslims in the uk are peaceful people, and they are part of our society. they are our brothers and sisters, and we should not blame them for their beliefs.","If Islam is to be understood, it is true. But that doesn't mean that it is the source of all war in the world.","How many people are being killed by fundamentalist Islam? Why is it you don't want to know? Islam is a peaceful religion, and it has been and still is a very powerful force in the world. And we should be proud of that.",kp,kp,tk,tk,tk,3,2,5,1,0,2,2,5,1,0,3,2,4,1,0,2,3,5,1,0,5,2,5,1,1,one
"Islam = cancer in every corner of the world. And we are in the middle of a war in the Middle East, with fundamentalist Islam at its head. This ideology is driving us to destruction.",MUSLIMS,"Islam is a religion, not a cancer, and we are in the midst of a war in the Middle East and the conflict is about terrorism and Islam. You are completely wrong.","The vast majority of Muslims in the world are peaceful, tolerant, and tolerant. They are our brothers and sisters.","the vast majority of muslims in the uk are peaceful people, and they are part of our society. they are our brothers and sisters, and we should not blame them for their beliefs.","If Islam is to be understood, it is true. But that doesn't mean that it is the source of all war in the world.","How many people are being killed by fundamentalist Islam? Why is it you don't want to know? Islam is a peaceful religion, and it has been and still is a very powerful force in the world. And we should be proud of that.",kp,kp,tk,tk,tk,4,4,5,1,0,3,2,4,0,0,3,2,3,0,0,3,4,5,1,0,5,4,5,1,1,two
All Muslim migrants are a security risk.,MUSLIMS,Migrants are not a security risk for us. They are our brothers and sisters.,"Migrants are not a security risk, they are just trying to integrate.","islam is a religion of peace, and it is not a problem in our country, nor a threat to the whole country.","That does not mean all Muslims are a security risk. In reality, all migrants have the right to their own lives.","Even if you exclude many Muslims from the terrorist risk category above, this doesn't mean that all Muslim are a security risk. For example, I know of no evidence of an increased Islamophobic sentiment among white supremacists, for example.",bs,tk,tk,bs,tp,2,3,5,1,0,3,2,5,1,0,5,2,5,1,1,5,2,5,1,0,5,2,4,1,0,one
All Muslim migrants are a security risk.,MUSLIMS,Migrants are not a security risk for us. They are our brothers and sisters.,"Migrants are not a security risk, they are just trying to integrate.","islam is a religion of peace, and it is not a problem in our country, nor a threat to the whole country.","That does not mean all Muslims are a security risk. In reality, all migrants have the right to their own lives.","Even if you exclude many Muslims from the terrorist risk category above, this doesn't mean that all Muslim are a security risk. For example, I know of no evidence of an increased Islamophobic sentiment among white supremacists, for example.",bs,tk,tk,bs,tp,2,5,5,1,1,3,3,5,1,0,3,2,5,0,0,2,2,5,0,0,3,2,5,1,0,two
A Muslim is an outsider in our country,MUSLIMS,Many Muslims live in the UK and have contributed greatly to our society. They are our brothers and sisters.,"The vast majority of Muslims live in our country, and they have contributed greatly to our economy. They are our brothers and sisters.","there is no evidence that muslims are a problem in our country. they are our brothers and sisters, and we should welcome them all.",Muslims are not an outsider in our country. They are part of our society and have contributed to our country.,This statement has no foundation in fact there are many Muslim who have been part of our country. You should check the records of your predecessors and find out who really is an outsider to our country and why they have been so successful.,bs,tp,kp,tp,bs,2,3,5,1,0,5,2,4,1,0,3,2,5,1,0,5,2,5,1,1,5,2,5,1,0,one
A Muslim is an outsider in our country,MUSLIMS,Many Muslims live in the UK and have contributed greatly to our society. They are our brothers and sisters.,"The vast majority of Muslims live in our country, and they have contributed greatly to our economy. They are our brothers and sisters.","there is no evidence that muslims are a problem in our country. they are our brothers and sisters, and we should welcome them all.",Muslims are not an outsider in our country. They are part of our society and have contributed to our country.,This statement has no foundation in fact there are many Muslim who have been part of our country. You should check the records of your predecessors and find out who really is an outsider to our country and why they have been so successful.,bs,tp,kp,tp,bs,4,5,5,1,1,4,3,5,1,0,4,3,5,1,0,3,3,5,1,0,3,2,5,0,0,two
Muslims are all against Western civilization.,MUSLIMS,"It is not true that all Muslims are against Western civilization, there is a lot of diversity within the Muslim community. Why do you say so?",It is not true that all Muslims are against Western civilization. They just want to live their lives as they wish.,"islam is a religion of peace and tolerance. it is not about hate, it is about hate and hate, and it is a way of life to live in harmony with western society.",I don't think it is the case that Muslims are against Western civilization. They are among the richest people in the world in terms of religion.,It is not true that all Muslims are against Western civilization. They are all here trying to integrate and build a better future for their children.,kp,kp,kp,tp,tk,5,3,5,1,0,3,3,5,1,0,3,3,5,0,0,5,4,5,1,1,2,2,3,0,0,one
Muslims are all against Western civilization.,MUSLIMS,"It is not true that all Muslims are against Western civilization, there is a lot of diversity within the Muslim community. Why do you say so?",It is not true that all Muslims are against Western civilization. They just want to live their lives as they wish.,"islam is a religion of peace and tolerance. it is not about hate, it is about hate and hate, and it is a way of life to live in harmony with western society.",I don't think it is the case that Muslims are against Western civilization. They are among the richest people in the world in terms of religion.,It is not true that all Muslims are against Western civilization. They are all here trying to integrate and build a better future for their children.,kp,kp,kp,tp,tk,5,4,5,1,1,3,3,5,1,0,5,2,5,1,0,4,5,5,1,0,2,2,2,0,0,two
